first_name,last_name,company_name,address,city,phone,aadhar,doctor,gender,disease,prescriptio roomno,
James,Butt,"Benton, John B Jr",6649 N Blue Gum St,New Orleans,8774692049,685471364000,DR.Vasavi,female,multiple sclerosis,Corticosteroids,102
Josephine,Darakjy,"Chanay, Jeffrey A Esq",4 B Blue Ridge Blvd,Brighton,6265330279,685471364002,DR.Rupesh,female,diabetes,"Sulfonylureas,Meglitinides",210
Art,Venere,"Chemel, James L Cpa",8 W Cerritos Ave #54,Bridgeport,8180063322,685471364001,DR.RaviKumar,male,heart attack,Thrombolytics,105
Lenna,Paprocki,Feltz Printing Service,639 Main St,Anchorage,7808710002,544258663464,DR.RaviKumar,female,heart attack,Thrombolytics,106
Donette,Foller,Printing Dimensions,34 Center St,Hamilton,6192300839,952935469038,DR.Ramesh,male,cough&cold,Tessalon Perles,111
Simona,Morasca,"Chapman, Ross E Esq",3 Mcauley Dr,Ashland,7654205589,974260088226,DR.Ramesh,female,asthma,Budesonide,110
Mitsue,Tollner,Morlong Associates,7 Eads St,Chicago,8674570433,803045416876,DR.Ramesh,male,asthma,Budesonide,109
Leota,Dilliard,Commercial Press,7 W Jackson Blvd,San Jose,9788352437,138619914600,DR.Ramesh,male,viralfever,ibuprofen,102
Sage,Wieser,Truhlar And Truhlar Attys,5 Boston Ave #88,Sioux Falls,9903102643,840254939524,DR.Rajesh,female,lupus,hydroxychloroquine,103
Kris,Marrier,"King, Christopher A Esq",228 Runamuck Pl #2808,Baltimore,8679660413,391737071218,DR.Apuroop,female,cancer,Abemaciclib,100
Minna,Amigon,"Dorl, James J Esq",2371 Jerrold Ave,Kulpsville,7306728397,122045033678,DR.Vasavi,female,multiple sclerosis,Corticosteroids,102
Abel,Maclead,Rangoni Of Florence,37275 St  Rt 17m M,Middle Island,8009524530,591910002501,DR.Rupesh,female,diabetes,"Sulfonylureas,Meglitinides",210
Kiley,Caldarera,Feiner Bros,25 E 75th St #69,Los Angeles,7114428227,189894363954,DR.RaviKumar,male,heart attack,Thrombolytics,105
Graciela,Ruta,Buckley Miller & Wright,98 Connecticut Ave Nw,Chagrin Falls,9979609645,384851471496,DR.RaviKumar,female,heart attack,Thrombolytics,106
Cammy,Albares,"Rousseaux, Michael Esq",56 E Morehead St,Laredo,7044958643,787777959269,DR.Ramesh,male,cough&cold,Tessalon Perles,
Mattie,Poquette,Century Communications,73 State Road 434 E,Phoenix,8098913262,66787019317,DR.Ramesh,female,asthma,Budesonide,110
Meaghan,Garufi,"Bolton, Wilbur Esq",69734 E Carrillo St,Mc Minnville,7288723421,756456033345,DR.Ramesh,male,asthma,Budesonide,109
Gladys,Rim,T M Byxbee Company Pc,322 New Horizon Blvd,Milwaukee,6464855118,575747097833,DR.Ramesh,male,viralfever,ibuprofen,102
Yuki,Whobrey,Farmers Insurance Group,1 State Route 27,Taylor,8969595904,844627413210,DR.Rajesh,female,lupus,hydroxychloroquine,103
Fletcher,Flosi,Post Box Services Plus,394 Manchester Blvd,Rockford,6536376320,593749891253,DR.Apuroop,female,cancer,Abemaciclib,100
Bette,Nicka,Sport En Art,6 S 33rd St,Aston,8843848107,655512144883,DR.Vasavi,female,multiple sclerosis,Corticosteroids,102
Veronika,Inouye,C 4 Network Inc,6 Greenleaf Ave,San Jose,8171551079,203978076831,DR.Rupesh,female,diabetes,"Sulfonylureas,Meglitinides",210
Willard,Kolmetz,"Ingalls, Donald R Esq",618 W Yakima Ave,Irving,6513833237,851897894772,DR.RaviKumar,male,heart attack,Thrombolytics,105
Maryann,Royster,"Franklin, Peter L Esq",74 S Westgate St,Albany,8374160006,113426355885,DR.RaviKumar,female,heart attack,Thrombolytics,106
Alisha,Slusarski,Wtlz Power 107 Fm,3273 State St,Middlesex,6540156636,349423960821,DR.Ramesh,male,cough&cold,Tessalon Perles,111
Allene,Iturbide,"Ledecky, David Esq",1 Central Ave,Stevens Point,9918299646,286225998812,DR.Ramesh,female,asthma,Budesonide,110
Chanel,Caudy,Professional Image Inc,86 Nw 66th St #8673,Shawnee,9584971113,411752594017,DR.Ramesh,male,asthma,Budesonide,109
Ezekiel,Chui,"Sider, Donald C Esq",2 Cedar Ave #84,Easton,7540870049,667489140559,DR.Ramesh,male,viralfever,ibuprofen,102
Willow,Kusko,U Pull It,90991 Thorburn Ave,New York,7451547939,825623883779,DR.Rajesh,female,lupus,hydroxychloroquine,103
Bernardo,Figeroa,"Clark, Richard Cpa",386 9th Ave N,Conroe,8642718136,23778440134,DR.Apuroop,female,cancer,Abemaciclib,100
Ammie,Corrio,"Moskowitz, Barry S",74874 Atlantic Ave,Columbus,6611658348,269076357418,DR.Vasavi,female,multiple sclerosis,Corticosteroids,102
Francine,Vocelka,Cascade Realty Advisors Inc,366 South Dr,Las Cruces,8920494664,823000635742,DR.Rupesh,female,diabetes,"Sulfonylureas,Meglitinides",210
Ernie,Stenseth,Knwz Newsradio,45 E Liberty St,Ridgefield Park,9198543567,638681710987,DR.RaviKumar,male,heart attack,Thrombolytics,105
Albina,Glick,"Giampetro, Anthony D",4 Ralph Ct,Dunellen,7284195929,67731276240,DR.RaviKumar,female,heart attack,Thrombolytics,106
Alishia,Sergi,Milford Enterprises Inc,2742 Distribution Way,New York,7638715149,729728861576,DR.Ramesh,male,cough&cold,Tessalon Perles,111
Solange,Shinko,"Mosocco, Ronald A",426 Wolf St,Metairie,7567259477,547607113484,DR.Ramesh,female,asthma,Budesonide,110
Jose,Stockham,Tri State Refueler Co,128 Bransten Rd,New York,6777438929,527905233772,DR.Ramesh,male,asthma,Budesonide,109
Rozella,Ostrosky,Parkway Company,17 Morena Blvd,Camarillo,8803708532,38767906493,DR.Ramesh,male,viralfever,ibuprofen,102
Valentine,Gillian,Fbs Business Finance,775 W 17th St,San Antonio,9491680377,864482173691,DR.Rajesh,female,lupus,hydroxychloroquine,103
Kati,Rulapaugh,Eder Assocs Consltng Engrs Pc,6980 Dorsett Rd,Abilene,9318245533,172546909831,DR.Apuroop,female,cancer,Abemaciclib,100
Youlanda,Schemmer,Tri M Tool Inc,2881 Lewis Rd,Prineville,9097427437,631563726784,DR.Vasavi,female,multiple sclerosis,Corticosteroids,102
Dyan,Oldroyd,International Eyelets Inc,7219 Woodfield Rd,Overland Park,6578196284,650398125132,DR.Rupesh,female,diabetes,"Sulfonylureas,Meglitinides",210
Roxane,Campain,Rapid Trading Intl,1048 Main St,Fairbanks,7463725166,302158069157,DR.RaviKumar,male,heart attack,Thrombolytics,105
Lavera,Perin,Abc Enterprises Inc,678 3rd Ave,Miami,6598782424,456411400559,DR.RaviKumar,female,heart attack,Thrombolytics,106
Erick,Ferencz,Cindy Turner Associates,20 S Babcock St,Fairbanks,8948291051,808816862217,DR.Ramesh,male,cough&cold,Tessalon Perles,112
Fatima,Saylors,"Stanton, James D Esq",2 Lighthouse Ave,Hopkins,9836074952,330933934434,DR.Ramesh,female,asthma,Budesonide,110
Jina,Briddick,Grace Pastries Inc,38938 Park Blvd,Boston,9394895607,518579207152,DR.Ramesh,male,asthma,Budesonide,109
Kanisha,Waycott,"Schroer, Gene E Esq",5 Tomahawk Dr,Los Angeles,9063522776,363925029817,DR.Ramesh,male,viralfever,ibuprofen,102
Emerson,Bowley,Knights Inn,762 S Main St,Madison,6284518766,666983371543,DR.Rajesh,female,lupus,hydroxychloroquine,103
Blair,Malet,Bollinger Mach Shp & Shipyard,209 Decker Dr,Philadelphia,8673324703,243018873363,DR.Apuroop,female,cancer,Abemaciclib,100
Brock,Bolognia,Orinda News,4486 W O St #1,New York,7737030119,726114378409,DR.Vasavi,female,multiple sclerosis,Corticosteroids,102
Lorrie,Nestle,Ballard Spahr Andrews,39 S 7th St,Tullahoma,8523443241,592059224690,DR.Rupesh,female,diabetes,"Sulfonylureas,Meglitinides",210
Sabra,Uyetake,Lowy Limousine Service,98839 Hawthorne Blvd #6101,Columbia,6444973607,232029694021,DR.RaviKumar,male,heart attack,Thrombolytics,105
Marjory,Mastella,Vicon Corporation,71 San Mateo Ave,Wayne,6015848459,493619071899,DR.RaviKumar,female,heart attack,Thrombolytics,106
Karl,Klonowski,"Rossi, Michael M",76 Brooks St #9,Flemington,8302697890,774738245326,DR.Ramesh,male,cough&cold,Tessalon Perles,112
Tonette,Wenner,Northwest Publishing,4545 Courthouse Rd,Westbury,9872480978,662373083158,DR.Ramesh,female,asthma,Budesonide,110
Amber,Monarrez,Branford Wire & Mfg Co,14288 Foster Ave #4121,Jenkintown,9306130706,546698637158,DR.Ramesh,male,asthma,Budesonide,109
Shenika,Seewald,East Coast Marketing,4 Otis St,Van Nuys,7001604014,797141311069,DR.Ramesh,male,viralfever,ibuprofen,102
